Name,NetWorth_Billions,X,Y,Z,ForceBasedOnAge
Andrea Pignataro,42.048102,0.06869856,0.42364705,0.3961554,0.3888889
Trae Stephens,1,-0.5448895,0.5002421,-0.3460562,0.53333336
Robin Zeng,61.281131,0.6238749,0.35999614,-0.3532994,0.37777779
Xu Shijun & family,1.245784,0.63777393,0.46487057,-0.38131735,0.31111112
Paul Sciarra,1.355784,-0.4713301,0.43271008,-0.29933906,0.51111114
Huang Qiaoling,1.063436,0.48111248,0.32507867,-0.2795804,0.25555557
Justin Sun,8.5,0.4810682,0.21603361,-0.21594527,0.6111111
Lin Shu-hong,5.315027,0.5372188,0.2945986,-0.32954887,0
Bina Chhabria,1.229184,0.5376402,0.1945047,0.16557857,0.24444444
Patricia Angelini Rossi,1.608168,-0.4868181,-0.3409548,0.17097464,0.21111111
Jiang Long,1.15567,0.613962,0.52394485,-0.3417535,0.43333334
Ke Guihua,1.273464,0.5982323,0.42509964,-0.36599585,0.33333334
Anand Burman,1.781801,0.55337864,0.3100291,0.1254045,0.18888889
Raj Sardana,2.033898,-0.73693126,0.4947544,0.07241262,0.2777778
Ian Wood & family,2.020265,-0.016840206,0.7122179,0.45967543,0.07777778
Yuri Karptsov,1.306856,0.30543986,0.3839292,-0.27380076,0.32222223
Roman Trotsenko,3.640608,0.3064592,0.7374863,0.39772123,0.3888889
Li Haizhou & family,1.082743,0.6515412,0.2962388,-0.29101604,0
H. Fisk Johnson,4.632318,-0.42166054,0.38974497,0.016325412,0.25555557
J. Frank Harrison III & family,2.100288,-0.7220258,0.5164263,0.11638544,0.22222222
Tim Sweeney,5.076,-0.53305835,0.39182103,0.1057313,0.3888889
Wu Guanjiang & family,2.764938,0.6397116,0.3785168,-0.19019236,0.36666667
Peter Sondakh,3.649164,0.5945532,-0.08200897,-0.24932672,0.16666667
Cao Ji,1.637773,0.6543575,0.44213706,-0.38025522,0.18888889
Kostyantin Zhevago,1.138799,0.28317836,0.6752758,0.480285,0.43333334
Chu Jian,1.56546,0.6543575,0.44213706,-0.38025522,0.31111112
Rafique Malik,2.158942,0.51422125,0.18603231,0.15836617,0.16666667
Garrett Camp,4.902114,-0.4920468,0.45172927,-0.3124961,0.47777778
Juan Domingo Beckmann Legorreta & family,1.790936,-0.7850127,0.28043675,-0.12612785,0.35555556
Jack Dorsey,5.919713,-0.5969189,0.5480083,-0.37909976,0.45555556
Andrew Cherng,7.640846,-0.42122856,0.3402328,-0.19765148,0.13333334
Thomas Wu,2.933493,0.69238967,0.37969077,-0.42473608,0.16666667
Massimo Doris,2.693958,0.06373356,0.40560326,0.39396003,0.35555556
Jerry Speyer & family,2.219312,-0.43794087,0.39205512,0.12552793,0.055555556
Vladislav Filev & family,2.153122,0.28537542,0.68674874,0.3703588,0.31111112
Chirayu Amin,1.486948,0.6796053,0.2911322,0.20507984,0.12222222
Ric Elias,1.0357,-0.64546853,0.461669,0.10404495,0.35555556
Sunny Varkey,4,0.66315424,0.37741253,0.45903042,0.24444444
Barbara Banke & family,2.543,-0.44223166,0.4220921,-0.28611645,0.2
Torstein Hagen,17.068196,0.08836434,0.65708435,0.6052421,0.08888889
Alexander Evnevich & family,1.531583,0.20881996,0.7148094,0.35715044,0.26666668
Stanley Kroenke,22.238497,-0.5128559,0.35056415,-0.08046881,0.13333334
Liu Debing,9.680143,0.44250873,0.41317335,-0.21963641,0.45555556
Prathip Chiravanond,2.185681,0.7980367,0.19866513,-0.1479278,0.14444445
Michael Wisser,1.416259,0.11825966,0.94811743,0.7802791,0.41111112
Lorenzo Fertitta,3.626064,-0.54276377,0.4383987,-0.254679,0.37777779
Waldemar Munich,1.001631,0.08560083,0.48142737,0.35902297,0.24444444
C. Dean Metropoulos,4.324251,-0.57182586,0.29207367,0.1004538,0.12222222
Lai Jianfa,1.601979,0.5150972,0.36602443,-0.31513417,0
Lottie Tham & family,3.197039,0.14122283,0.76775545,0.4328725,0.15555556
Yu Renrong,5.322215,0.5261272,0.3546985,-0.3230356,0.34444445
Alfredo Egydio Arruda Villela Filho,2.579112,-0.38962665,-0.23355836,0.36798674,0.37777779
Salil Singhal,2.368764,0.70286244,0.39377704,0.15927994,0.13333334
Jack Dangermond,14.861977,-0.41674057,0.3166567,-0.21401475,0.11111111
Stanley Tang,1.019145,-0.4724262,0.4337164,-0.30003518,0.6333333
Wang Laisheng,11.481911,0.6886041,0.31309035,-0.3075705,0.32222223
Chen Qiongxiang,3.077615,0.6238749,0.35999614,-0.3532994,0
Benjamin Otto,2.215234,0.057922553,0.45193306,0.32873014,0.44444445
Beda Diethelm,2.340146,0.08430341,0.6159333,0.5607389,0.06666667
Nutchamai Thanombooncharoen,1.113109,0.6464078,0.16091827,-0.11982117,0.3
Ken Langone,9.759053,-0.47187722,0.42510915,0.13782927,0
Joseph Bae,1.866326,-0.6465031,0.5787651,0.18530858,0.41111112
Marina Prada,1.953501,0.07879748,0.5014707,0.4870755,0.11111111
Kim Hyoung-nyon,1.229327,0.54552555,0.5252419,-0.41076073,0.45555556
Phillip Frost,2.310218,-0.6804897,0.3340982,0.11828469,0.011111111
Michael Rees,1.122464,-0.6406169,0.58382523,0.18982258,0.44444445
Vinod Rai Gupta,4.096354,0.5764843,0.322974,0.13064063,0.11111111
Maria Angelicoussis,7.493616,0.25295416,0.49085012,0.5754865,0.5222222
Meg Whitman,3.766009,-0.5682486,0.43594483,-0.30525056,0.23333333
Pavan Jain,1.836183,0.50058675,0.28045255,0.11344102,0.17777778
Jason Jiang,4.581437,0.6178258,0.43902266,-0.3779831,0.42222223
Toto Wolff,2.659249,0.112362765,0.83237296,0.86260974,0.41111112
Peter Woo,14.299681,0.5074038,0.22786017,-0.227767,0.12222222
Zou Zhinong & family,14.272016,0.4923956,0.3478574,-0.29114866,0.36666667
Herb Chambers,2.762819,-0.5643344,0.544011,0.19365731,0.07777778
Ben Navarro,3.190296,-0.53802454,0.35183567,0.095519945,0.3
Michael Hintze,2.689212,-0.00096607953,0.55377746,0.44035935,0.2
Eleonora Berlusconi,1.798325,0.090189904,0.572229,0.5522799,0.56666666
Todd Christopher,4.1,-0.7559307,0.4045469,0.09549494,0.3
Ioannis Papalekas,2.396806,0.27012533,0.3462293,0.41038305,0.45555556
Otto Happel,4.084616,0.057582576,0.42818865,0.3944057,0.14444445
Johannes von Baumbach,6.542045,0.06794025,0.5769632,0.47984496,0.7777778
Archie Hwang,2.125137,0.54982346,0.3015107,-0.337281,0.18888889
Vasily Shikin,2.279489,-0.5022751,0.46111953,-0.31899205,0.5555556
Julia Oetker,1.569695,0.05902438,0.5097473,0.39337775,0.4888889
Andrii Verevskyi,1.075992,0.2656947,0.63358366,0.45063177,0.43333334
Zhang Xuexin & family,9.234038,0.56681454,0.46581742,-0.2764846,0.13333334
Roland Duchatelet & family,1.412833,0.04066599,0.55190825,0.44801387,0.12222222
Kjeld Kirk Kristiansen,7.309353,0.07121172,0.6596752,0.443761,0.13333334
Henrietta Goh,1.23279,0.6731531,0.015608995,-0.16596639,0.64444447
Stephen Winn,1.4868,-0.56985253,0.36961213,-0.06801833,0.12222222
Kumud Bajaj,3.807967,0.7547391,0.27304563,0.23243915,0.21111111
Radovan Vitek,7.085954,0.054073445,0.434631,0.4116171,0.4
Pia Hollweg-Vajen,1.752853,0.067335546,0.5852229,0.4345989,0.43333334
Morris Chang,8.051078,0.5542014,0.2986992,-0.33258453,0
Matteo Danieli,1.3,0.09705597,0.61766857,0.5999378,0.54444444
Robert Kraft,13.841585,-0.60283697,0.58037096,0.2061422,0.06666667
Vladimir Ivanov,1.231123,0.29601452,0.32528132,0.42621675,0.3888889
Li Haiyan,1.819844,0.59802043,0.36557102,-0.14984314,0.41111112
Teresita Sy-Coson,1.423859,0.69322944,0.21068636,-0.4162418,0.16666667
Tom Gores,10.0556,-0.6464993,0.49710798,-0.34956652,0.32222223
Pan Laican,1.419057,0.64969885,0.30028015,-0.2775424,0
Shaul Shani,5.176441,0.12518239,0.7966663,0.7737973,0.22222222
Joesley Batista,4.956318,-0.59427065,-0.35623044,0.5612648,0.41111112
Pierre Omidyar,11.809338,-0.21103778,0.21838658,-0.5186404,0.35555556
Tony Tamer,7.797,-0.6465031,0.5787651,0.18530858,0.24444444
Lee Hwa-kyung,1.015274,0.3756893,0.36172047,-0.28288028,0.23333333
Sudhir Mehta,8.006443,0.56018764,0.24951772,0.17568843,0.21111111
Herbert Allen Jr & family,2.047004,-0.4174923,0.3737491,0.11966672,0.055555556
Xu Yingzhuo,2.039792,0.67810327,0.31505442,-0.2913365,0.36666667
Vadim Moshkovich,2.940654,0.20303927,0.4886089,0.26350337,0.35555556
Patrick Hanrahan,1.559069,-0.41213888,0.3720787,-0.25972152,0.22222222
Juan Roig,9.610173,-0.5235686,0.101211205,0.2115313,0.15555556
Joe Rogers Jr,1.984,-0.5993721,0.40240115,0.058895726,0.12222222
Thomas Straumann,4.878209,0.061770745,0.51253206,0.46460047,0.31111112
Liu Xiucai & family,1.307966,0.42666987,0.3031886,-0.26103473,0.24444444
Julio Ponce Lerou,3.749285,-0.549519,-0.3848689,0.19299573,0.11111111
David Velez & family,14.044453,-0.5741705,-0.34418157,0.542281,0.51111114
Li Shuirong & family,15.482798,0.51937425,0.3509314,-0.3018148,0.23333333
Alex Birkenstock,2.130384,0.11287441,0.6089756,0.5422849,0.36666667
Catherine Phillips,1.969311,-0.59133667,0.5750356,0.11068061,0.17777778
Elena Baturina,1.3158,-0.0011178248,0.64076114,0.50952804,0.31111112
Cho Jyh-jer,2.572272,0.5789465,0.3324429,-0.24753898,0.23333333
Youssef Mansour,1.817,0.39723527,0.4432088,0.6546314,0.11111111
Richard Fortin,2.06752,-0.4235675,0.4511177,0.12598124,0.14444445
Stephen Feinberg,4.976,-0.6465031,0.5787651,0.18530858,0.2777778
Wang Qiangxiang,1.501608,0.5801143,0.41456708,-0.31862825,0.4
Alain Merieux & family,6.954564,0.045235638,0.5495719,0.5334825,0.033333335
Ramzi Musallam,10.784,-0.6465031,0.5787651,0.18530858,0.36666667
Tse Ping & family,7.814792,0.6477167,0.29087055,-0.29075164,0.18888889
Mrudula Parekh,1.854806,0.59970236,0.21695721,0.18469203,0.14444445
Edward Bass,2.990034,-0.66697735,0.43213224,-0.08568789,0.11111111
Chang Kuo-Hua,2.962265,0.5902811,0.32369676,-0.36209914,0.22222222
Qiu Jianping & family,5.10002,0.6567281,0.44373882,-0.3816328,0.3
Li Zhigang,1.525244,0.6425313,0.41654426,-0.28966463,0.45555556
