ID,Name,NetWorth,x,y,z,sector or company,industries,connections,Age,Source_or_company_extended,Philanthropy_Score,Self_Made_Score,Citizenship,Marital_Status,Children,connection_names_matched
0,Elon Musk,701141591413,-0.7176682,0.7269679,-0.4203704,Tesla  SpaceX,social media/automotive/ai/energy/space/aerospace,4/395/87/1574,54,Tesla/ SpaceX/ Self Made,1,8,United States,Divorced,14,Larry Ellison/Leo KoGuan/Peter Thiel/Reid Hoffman
1,Larry Page,268018401772,-0.7726372,0.37655112,-0.29911,Google,internet/ai/advertising,46/2,53,Google/ Self Made,1,8,United States,Married,1,Eric Schmidt/Sergey Brin
2,Sergey Brin,247146021469,-0.57846415,0.55257666,-0.35525104,Google,internet/ai/advertising,46/1,52,Google/ Self Made,2,9,United States,Separated,3,Eric Schmidt/Larry Page
3,Jeff Bezos,232237178395,-0.7260102,0.60625494,0.3315384,Amazon,e-commerce/cloud/logistics,401/266/86/69,62,Amazon/ Self Made,2,8,United States,Engaged,4,David Shaw/Douglas Leone/Jack Ma/MacKenzie Scott
4,Larry Ellison,199863690578,-0.94153845,0.759288,0.645527,Oracle,software/cloud,1246/1451,81,Oracle/ Self Made,1,9,United States,In Relationship,4,Phillip T. (Terry) Ragon/Safra Catz
5,Mark Zuckerberg,175583574715,-1.4656347,1.4484248,-0.11488092,Facebook,social media/advertising/ai,346/87/1574/1783,42,Facebook/ Self Made,2,8,United States,Married,3,Dustin Moskovitz/Peter Thiel/Reid Hoffman/Sheryl Sandberg
6,Jensen Huang,162208212643,-0.63497937,0.86095965,-0.86231935,Semiconductors,semiconductors/hardware,3071/3186/260,63,Semiconductors/ Self Made,1,8,United States,Married,,Colette Kress/Maky Zanganeh/Mark Stevens
7,Michael Dell,158885670472,-0.5559886,0.43419886,-0.2520443,Dell Technologies,computer hardware/enterprise technology,50/1718,61,Dell Technologies/ Self Made,2,8,United States,Married,4,Henry Samueli/Kenneth Hao
8,Rob Walton & family,125234281820,-1.3219254,0.7526673,-0.0794012,Walmart,retail/logistics,9/37/121,81,Walmart,1,4,United States,Married,3,Jim Walton & family/Lukas Walton/Stanley Kroenke
9,Jim Walton & family,122934060317,-1.3605335,0.6816011,-0.26653156,Walmart,retail/logistics,12/37/8/121,77,Walmart,2,2,United States,Married,4,Alice Walton/Lukas Walton/Rob Walton & family/Stanley Kroenke
10,Bernard Arnault & family,122422899983,0.18676919,0.436587,0.40867585,LVMH,luxury/fashion/retail,1406/1873/1717,77,LVMH,,,France,Married,5,Alberto Palatchi/Christian Birkenstock/Nicola Bulgari
11,Warren Buffett,121656159482,-1.3375782,1.245692,0.28232116,Berkshire Hathaway,finance/investment/insurance,18,95,Berkshire Hathaway/ Self Made,5,8,United States,Widowed/ Remarried,3,Bill Gates
12,Alice Walton,115096268530,-1.424397,0.5275525,-0.36513987,Walmart,retail/logistics,108/9/37/121,76,Walmart,2,1,United States,Divorced,,Christy Walton/Jim Walton & family/Lukas Walton/Stanley Kroenke
13,Steve Ballmer,111177372636,-1.1189507,1.186706,-0.7052731,Microsoft,software/cloud/ai,18/521/1574,70,Microsoft/ Self Made,2,6,United States,Married,3,Bill Gates/Charles Simonyi/Reid Hoffman
14,Amancio Ortega,110666212302,-0.33969736,1.2456379,0.8043424,Zara,fashion/retail,2855/268/1211,90,Zara/ Self Made,,,Spain,Married,3,Antonio Percassi/Sandra Ortega Mera/Sol Daurella
15,Carlos Slim Helu & family,108451184188,-0.9386904,0.7380109,-0.46271524,Telecom,telecom,18/1243/397/227,86,Telecom/ Self Made,,,Mexico,Widowed,6,Bill Gates/Fernando Chico Pardo/Patrick Drahi/Sunil Mittal
16,Changpeng Zhao,95586982450,0.74092776,0.8279637,1.0915166,Cryptocurrency exchange,social media/cryptocurrency/fintech,1466/1903/783/1815/1465,49,Cryptocurrency exchange/ Self Made,,,Canada,,,Cameron Winklevoss/Matthew Roszak/Michael Saylor/Tim Draper/Tyler Winklevoss
17,Michael Bloomberg,93201567558,-0.39296544,0.40899858,0.19856182,Bloomberg LP,financial data/media,1062/730/2272,84,Bloomberg LP/ Self Made,4,8,United States,In Relationship,2,Charles Zegar/Thomas Secunda/Duncan MacMillan
18,Bill Gates,87493610496,0.59116113,1.1793662,1.335536,Microsoft,software/cloud/ai,521/13/11,70,Microsoft/ Self Made,5,8,United States,Divorced,3,Charles Simonyi/Steve Ballmer/Warren Buffett
19,Thomas Peterffy,82382007156,-2.1448019,0.6136075,0.32170904,Discount brokerage,finance,254/1016,81,Discount brokerage/ Self Made,1,10,United States,Divorced,3,Charles Schwab/Rodger Riney & family
20,Mukesh Ambani,78889078208,0.73825663,0.075868756,0.3817504,Diversified,Diversified,36,69,Diversified,,,India,Married,3,Li Ka-shing
21,Francoise Bettencourt Meyers & family,77611177373,0.035682805,0.54315215,0.24678442,L'Oréal,cosmetics/consumer goods,,72,L'Oréal,,,France,Married,2,
22,Giancarlo Devasini,76077696371,0.53893065,0.74390864,1.27194,Cryptocurrency,cryptocurrency/fintech,345/249/54/783/55/107,62,Cryptocurrency/ Self Made,,,Italy,,,Brian Armstrong/Chris Larsen/Jean-Louis van der Velde/Michael Saylor/Paolo Ardoino/Stuart Hoegner
23,Julia Koch & family,69177031862,-0.7411901,0.802304,0.23811914,Koch  Inc.,industrial/energy/chemicals,25/76/706/2162,64,Koch/ Inc.,2,2,United States,Widowed,3,Charles Koch & family/Elaine Marshall & family/Johnelle Hunt/William Koch
24,Gautam Adani,65087749191,1.5724819,0.7923124,0.14092913,Infrastructure  commodities,Commodities/infrastructure,24/102,63,Commodities/ infrastructure/ Self Made,,,India,Married,2,Gautam Adani/Vinod Adani
25,Charles Koch & family,62872721077,-0.6451388,0.91614306,-0.4612832,Koch  Inc.,industrial/energy/chemicals,76/1185/23/2162,90,Koch/ Inc.,2,5,United States,Married,2,Elaine Marshall & family/Hemant Taneja/Julia Koch & family/William Koch
26,Masayoshi Son,61765207020,0.8091751,0.5971681,-0.67048526,Telecom  Investments,telecom/investment/finance,2501,68,Telecom/ Investments/ Self Made,,,Japan,Married,2,Vladimir Yevtushenkov
27,Zhang Yiming,59039018572,0.8095081,-0.11257417,-0.38657987,TikTok,social media/ai/advertising,1341/1926,42,TikTok/ Self Made,,,China,,,Cai Dongchen/Liang Rubo
28,Jeff Yass,57420344181,-0.67240965,0.3887304,0.38337287,Trading  investments,investment/finance,167/1424/730,67,Trading/ investments/ Self Made,1,8,United States,Married,4,Arthur Dantchik/Joel Greenberg/Thomas Secunda
29,Robin Zeng,57249957403,0.4089765,0.2991851,-0.28566012,Batteries,batteries/energy storage,147/77/239/119,57,Batteries/ Self Made,,,Hong Kong,,,Pei Zhenhua/Huang Shilin/Li Ping/Yu Yong
30,Zhong Shanshan,56653603680,1.2270057,1.6019201,-1.1183374,Beverages  pharmaceuticals,healthcare/pharmaceuticals/food/beverages,,71,Beverages/ pharmaceuticals/ Self Made,,,China,,,
31,Tadashi Yanai & family,54438575567,0.68025196,0.4679741,-0.716866,Fashion retail,ai/software/retail/luxury/fashion,168/1619/1229/1342,77,Fashion retail/ Self Made,,,Japan,Married,2,Anders Holch Povlsen/Tang Yiu/Zhou Jianping/Qiu Guanghe & family
32,Germán Larrea Mota Velasco & family,54353382178,-1.241502,0.67592746,0.07471077,Mining,mining/materials,129/95/1118,72,Mining,,,Mexico,Married,,Andrew Forrest & family/Gina Rinehart/Patrice Motsepe
33,Dieter Schwarz,52053160675,0.079165146,0.46786407,0.48686275,Retail,ai/software/retail,741/872,86,Retail,,,Germany,Married,2,Samuel Yin/Takao Yasuda
