ID,Name,NetWorth,x,y,z,industries,connections,hue color value
0,Elon Musk,701141591413,-0.7176682,0.7269679,-0.4203704,social media/automotive/ai/energy/space/aerospace,4/395/87/1574,0.6697777
1,Larry Page,268018401772,-0.7726372,0.37655112,-0.29911,internet/ai/advertising,46/2,0.7535922
2,Sergey Brin,247146021469,-0.57846415,0.55257666,-0.35525104,internet/ai/advertising,46/1,0.7535922
3,Jeff Bezos,232237178395,-0.7260102,0.60625494,0.3315384,e-commerce/cloud/logistics,401/266/86/69,1.5939332
4,Larry Ellison,199863690578,-0.94153845,0.759288,0.645527,software/cloud,1246/1451,1.5939332
5,Mark Zuckerberg,175583574715,-1.4656347,1.4484248,-0.11488092,social media/advertising/ai,346/87/1574/1783,1.3075284
6,Jensen Huang,162208212643,-0.63497937,0.86095965,-0.86231935,semiconductors/hardware,3071/3186/260,1.2610606
7,Michael Dell,158885670472,-0.5559886,0.43419886,-0.2520443,computer hardware/enterprise technology,50/1718,2.007607
8,Rob Walton & family,125234281820,-1.3219254,0.7526673,-0.0794012,retail/logistics,9/37/121,1.5629902
9,Jim Walton & family,122934060317,-1.3605335,0.6816011,-0.26653156,retail/logistics,12/37/8/121,1.5629902
10,Bernard Arnault & family,122422899983,0.18676919,0.436587,0.40867585,luxury/fashion/retail,1406/1873/1717,0.9080228
11,Warren Buffett,121656159482,-1.3375782,1.245692,0.28232116,finance/investment/insurance,18,0.6704873
12,Alice Walton,115096268530,-1.424397,0.5275525,-0.36513987,retail/logistics,108/9/37/121,1.5629902
13,Steve Ballmer,111177372636,-1.1189507,1.186706,-0.7052731,software/cloud/ai,18/521/1574,1.5939332
14,Amancio Ortega,110666212302,-0.33969736,1.2456379,0.8043424,fashion/retail,2855/268/1211,0.59320146
15,Carlos Slim Helu & family,108451184188,-0.9386904,0.7380109,-0.46271524,telecom,18/1243/397/227,0.37299705
16,Changpeng Zhao,95586982450,0.74092776,0.8279637,1.0915166,social media/cryptocurrency/fintech,1466/1903/783/1815/1465,2.003768
17,Michael Bloomberg,93201567558,-0.39296544,0.40899858,0.19856182,financial data/media,1062/730/2272,0.471399
18,Bill Gates,87493610496,0.59116113,1.1793662,1.335536,software/cloud/ai,521/13/11,1.5939332
19,Thomas Peterffy,82382007156,-2.1448019,0.6136075,0.32170904,finance,254/1016,1.5244248
20,Mukesh Ambani,78889078208,0.73825663,0.075868756,0.3817504,Diversified,36,0.8902763
21,Francoise Bettencourt Meyers & family,77611177373,0.035682805,0.54315215,0.24678442,cosmetics/consumer goods,,1.9213439
22,Giancarlo Devasini,76077696371,0.53893065,0.74390864,1.27194,cryptocurrency/fintech,345/249/54/783/55/107,0.86932945
23,Julia Koch & family,69177031862,-0.7411901,0.802304,0.23811914,industrial/energy/chemicals,25/76/706/2162,1.1103568
