source_id,target_id,source_name,target_name,source_mass,target_mass
0,4,Elon Musk,Larry Ellison,701.141591413,199.863690578
0,395,Elon Musk,Leo KoGuan,701.141591413,7.667405009
0,87,Elon Musk,Peter Thiel,701.141591413,24.109729085
0,1574,Elon Musk,Reid Hoffman,701.141591413,2.300221503
1,46,Larry Page,Eric Schmidt,268.018401772,35.866416766
1,2,Larry Page,Sergey Brin,268.018401772,247.146021469
2,46,Sergey Brin,Eric Schmidt,247.146021469,35.866416766
2,1,Sergey Brin,Larry Page,247.146021469,268.018401772
3,401,Jeff Bezos,David Shaw,232.237178395,7.497018231
3,266,Jeff Bezos,Douglas Leone,232.237178395,10.13801329
3,86,Jeff Bezos,Jack Ma,232.237178395,24.109729085
3,69,Jeff Bezos,MacKenzie Scott,232.237178395,28.199011757
4,1246,Larry Ellison,Phillip T. (Terry) Ragon,199.863690578,2.981768615
4,1451,Larry Ellison,Safra Catz,199.863690578,2.470608281
5,346,Mark Zuckerberg,Dustin Moskovitz,175.583574715,8.348952121
5,87,Mark Zuckerberg,Peter Thiel,175.583574715,24.109729085
5,1574,Mark Zuckerberg,Reid Hoffman,175.583574715,2.300221503
5,1783,Mark Zuckerberg,Sheryl Sandberg,175.583574715,2.044641336
6,3071,Jensen Huang,Colette Kress,162.208212643,1.022320668
6,3186,Jensen Huang,Maky Zanganeh,162.208212643,0.937127279
6,260,Jensen Huang,Mark Stevens,162.208212643,10.308400068
7,50,Michael Dell,Henry Samueli,158.885670472,33.992162208
7,1718,Michael Dell,Kenneth Hao,158.885670472,2.129834725
8,9,Rob Walton & family,Jim Walton & family,125.23428182,122.934060317
8,37,Rob Walton & family,Lukas Walton,125.23428182,42.000340774
8,121,Rob Walton & family,Stanley Kroenke,125.23428182,18.912932356
9,12,Jim Walton & family,Alice Walton,122.934060317,115.09626853
9,37,Jim Walton & family,Lukas Walton,122.934060317,42.000340774
9,8,Jim Walton & family,Rob Walton & family,122.934060317,125.23428182
9,121,Jim Walton & family,Stanley Kroenke,122.934060317,18.912932356
10,1406,Bernard Arnault & family,Alberto Palatchi,122.422899983,2.55580167
10,1873,Bernard Arnault & family,Christian Birkenstock,122.422899983,1.959447947
10,1717,Bernard Arnault & family,Nicola Bulgari,122.422899983,2.129834725
11,18,Warren Buffett,Bill Gates,121.656159482,87.493610496
12,108,Alice Walton,Christy Walton,115.09626853,20.872380303
12,9,Alice Walton,Jim Walton & family,115.09626853,122.934060317
12,37,Alice Walton,Lukas Walton,115.09626853,42.000340774
12,121,Alice Walton,Stanley Kroenke,115.09626853,18.912932356
13,18,Steve Ballmer,Bill Gates,111.177372636,87.493610496
13,521,Steve Ballmer,Charles Simonyi,111.177372636,6.304310785
13,1574,Steve Ballmer,Reid Hoffman,111.177372636,2.300221503
14,2855,Amancio Ortega,Antonio Percassi,110.666212302,1.107514057
14,268,Amancio Ortega,Sandra Ortega Mera,110.666212302,10.052819901
14,1211,Amancio Ortega,Sol Daurella,110.666212302,2.981768615
15,18,Carlos Slim Helu & family,Bill Gates,108.451184188,87.493610496
15,1243,Carlos Slim Helu & family,Fernando Chico Pardo,108.451184188,2.981768615
15,397,Carlos Slim Helu & family,Patrick Drahi,108.451184188,7.667405009
15,227,Carlos Slim Helu & family,Sunil Mittal,108.451184188,11.245527347
16,1466,Changpeng Zhao,Cameron Winklevoss,95.58698245,2.470608281
16,1903,Changpeng Zhao,Matthew Roszak,95.58698245,1.874254558
16,783,Changpeng Zhao,Michael Saylor,95.58698245,4.685636395
16,1815,Changpeng Zhao,Tim Draper,95.58698245,1.959447947
16,1465,Changpeng Zhao,Tyler Winklevoss,95.58698245,2.470608281
17,1062,Michael Bloomberg,Charles Zegar,93.201567558,3.492928949
17,730,Michael Bloomberg,Thomas Secunda,93.201567558,4.856023173
17,2272,Michael Bloomberg,Duncan MacMillan,93.201567558,1.533481002
18,521,Bill Gates,Charles Simonyi,87.493610496,6.304310785
18,13,Bill Gates,Steve Ballmer,87.493610496,111.177372636
18,11,Bill Gates,Warren Buffett,87.493610496,121.656159482
19,254,Thomas Peterffy,Charles Schwab,82.382007156,10.563980235
19,1016,Thomas Peterffy,Rodger Riney & family,82.382007156,3.578122338
