ID,Name,NetWorth,x,y,z,sector or company,industries,connections,Age,Source_or_company_extended,Philanthropy_Score,Self_Made_Score,Citizenship,Marital_Status,Children,connection_names_matched,is_valid,connection_count,vx,vy,vz,velocity_strength,NetWorth_Billions
0,Elon Musk,701141591413.0,-0.7176682,0.7269679,-0.4203704,Tesla  SpaceX,social media/automotive/ai/energy/space/aerospace,4/395/87/1574,54.0,Tesla/ SpaceX/ Self Made,1.0,8.0,United States,Divorced,14.0,Larry Ellison/Leo KoGuan/Peter Thiel/Reid Hoffman,True,4,-0.01144280978193521,0.0014977999167124553,0.03912936203168214,0.040795689396093106,701.141591413
1,Larry Page,268018401772.0,-0.7726372,0.37655112,-0.29911,Google,internet/ai/advertising,46/2,53.0,Google/ Self Made,1.0,8.0,United States,Married,1.0,Eric Schmidt/Sergey Brin,True,2,0.0361377290438384,0.033040342374872585,-0.010038080875914651,0.04998362484220293,268.018401772
2,Sergey Brin,247146021469.0,-0.57846415,0.55257666,-0.35525104,Google,internet/ai/advertising,46/1,52.0,Google/ Self Made,2.0,9.0,United States,Separated,3.0,Eric Schmidt/Larry Page,True,2,-0.02796101683775386,-0.024610273137208656,0.009164996867269086,0.038359890172760154,247.146021469
3,Jeff Bezos,232237178395.0,-0.7260102,0.60625494,0.3315384,Amazon,e-commerce/cloud/logistics,401/266/86/69,62.0,Amazon/ Self Made,2.0,8.0,United States,Engaged,4.0,David Shaw/Douglas Leone/Jack Ma/MacKenzie Scott,True,4,0.025502436865368933,0.016127778486323862,-0.027716364107629912,0.04097165318025104,232.237178395
4,Larry Ellison,199863690578.0,-0.94153845,0.759288,0.645527,Oracle,software/cloud,1246/1451,81.0,Oracle/ Self Made,1.0,9.0,United States,In Relationship,4.0,Phillip T. (Terry) Ragon/Safra Catz,True,2,-0.02085018855970156,0.029868919717336857,0.009514054223369896,0.0376483725520911,199.863690578
5,Mark Zuckerberg,175583574715.0,-1.4656347,1.4484248,-0.11488092,Facebook,social media/advertising/ai,346/87/1574/1783,42.0,Facebook/ Self Made,2.0,8.0,United States,Married,3.0,Dustin Moskovitz/Peter Thiel/Reid Hoffman/Sheryl Sandberg,True,4,0.0006391663407762183,-0.028819405890318506,-0.03615857031006508,0.046242933474748615,175.583574715
6,Jensen Huang,162208212643.0,-0.63497937,0.86095965,-0.86231935,Semiconductors,semiconductors/hardware,3071/3186/260,63.0,Semiconductors/ Self Made,1.0,8.0,United States,Married,,Colette Kress/Maky Zanganeh/Mark Stevens,True,3,-0.017634174001586175,0.02845831853310367,0.031338904264727574,0.04585811713277781,162.208212643
7,Michael Dell,158885670472.0,-0.5559886,0.43419886,-0.2520443,Dell Technologies,computer hardware/enterprise technology,50/1718,61.0,Dell Technologies/ Self Made,2.0,8.0,United States,Married,4.0,Henry Samueli/Kenneth Hao,True,2,-0.008713424128568075,0.043632936765103575,-0.021503091261514846,0.049418011540256004,158.885670472
8,Rob Walton & family,125234281820.0,-1.3219254,0.7526673,-0.0794012,Walmart,retail/logistics,9/37/121,81.0,Walmart,1.0,4.0,United States,Married,3.0,Jim Walton & family/Lukas Walton/Stanley Kroenke,True,3,-0.00966337557446198,-0.012621504562222888,-0.03663886141164737,0.03993856995999261,125.23428182
9,Jim Walton & family,122934060317.0,-1.3605335,0.6816011,-0.26653156,Walmart,retail/logistics,12/37/8/121,77.0,Walmart,2.0,2.0,United States,Married,4.0,Alice Walton/Lukas Walton/Rob Walton & family/Stanley Kroenke,True,4,-0.00017537555177061712,-0.004916250079790631,0.017774510990020136,0.018442708921564285,122.934060317
10,Bernard Arnault & family,122422899983.0,0.18676919,0.436587,0.40867585,LVMH,luxury/fashion/retail,1406/1873/1717,77.0,LVMH,,,France,Married,5.0,Alberto Palatchi/Christian Birkenstock/Nicola Bulgari,True,3,-0.015386184712463183,0.027829966175920165,0.02875940206716588,0.04287592453370308,122.422899983
