ID,Name,NetWorth_Billions,x,y,z,vx,vy,vz,industries,connections,hue color value
0,Elon Musk,701.141591413,-0.7176682,0.7269679,-0.4203704,0.004265418412255021,0.03962472700718338,-0.0,social media/automotive/ai/energy/space/aerospace,4/395/87/1574,0.6697777
1,Larry Page,268.018401772,-0.7726372,0.37655112,-0.29911,0.027882602071570433,-0.030383579063966167,0.0,internet/ai/advertising,46/2,0.7535922
2,Sergey Brin,247.146021469,-0.57846415,0.55257666,-0.35525104,-0.027814471770913757,0.031143573820547426,0.0,internet/ai/advertising,46/1,0.7535922
3,Jeff Bezos,232.237178395,-0.7260102,0.60625494,0.3315384,0.012847346663280914,-0.028335715520560675,0.0,e-commerce/cloud/logistics,401/266/86/69,1.5939332
4,Larry Ellison,199.863690578,-0.94153845,0.759288,0.645527,0.012897015254571724,0.004349328491852017,-0.0,software/cloud,1246/1451,1.5939332
5,Mark Zuckerberg,175.583574715,-1.4656347,1.4484248,-0.11488092,-0.02649942205452451,-0.0009618678563838339,0.0,social media/advertising/ai,346/87/1574/1783,1.3075284
6,Jensen Huang,162.208212643,-0.63497937,0.86095965,-0.86231935,0.016324721560303988,0.00947115895003867,-0.0,semiconductors/hardware,3071/3186/260,1.2610606
7,Michael Dell,158.885670472,-0.5559886,0.43419886,-0.2520443,0.025773862649371045,0.005641515854406167,-0.0,computer hardware/enterprise technology,50/1718,2.007607
8,Rob Walton & family,125.23428182,-1.3219254,0.7526673,-0.0794012,-0.03804875452731004,-0.0020333642486256138,0.0,retail/logistics,9/37/121,1.5629902
9,Jim Walton & family,122.934060317,-1.3605335,0.6816011,-0.26653156,-0.03189661740029767,-0.02684907706238176,0.0,retail/logistics,12/37/8/121,1.5629902
10,Bernard Arnault & family,122.422899983,0.18676919,0.436587,0.40867585,0.014084937672322191,0.004701353961383281,-0.0,luxury/fashion/retail,1406/1873/1717,0.9080228
11,Warren Buffett,121.656159482,-1.3375782,1.245692,0.28232116,-0.0011247153412597764,-0.032706468881522774,0.0,finance/investment/insurance,18,0.6704873
12,Alice Walton,115.09626853,-1.424397,0.5275525,-0.36513987,0.03302503927211619,-0.020525975230753127,0.0,retail/logistics,108/9/37/121,1.5629902
13,Steve Ballmer,111.177372636,-1.1189507,1.186706,-0.7052731,-0.0011152326812354095,-0.03338456861387908,0.0,software/cloud/ai,18/521/1574,1.5939332
14,Amancio Ortega,110.666212302,-0.33969736,1.2456379,0.8043424,-0.00747274925071823,-0.018376565410771664,0.0,fashion/retail,2855/268/1211,0.59320146
15,Carlos Slim Helu & family,108.451184188,-0.9386904,0.7380109,-0.46271524,0.008293097499814266,-0.033323218235280526,0.0,telecom,18/1243/397/227,0.37299705
16,Changpeng Zhao,95.58698245,0.74092776,0.8279637,1.0915166,-0.002438982996913244,0.019348526724909058,0.0,social media/cryptocurrency/fintech,1466/1903/783/1815/1465,2.003768
17,Michael Bloomberg,93.201567558,-0.39296544,0.40899858,0.19856182,0.01067760665281586,0.013772020912236432,-0.0,financial data/media,1062/730/2272,0.471399
18,Bill Gates,87.493610496,0.59116113,1.1793662,1.335536,0.000549948327284544,0.04000957756139871,-0.0,software/cloud/ai,521/13/11,1.5939332
19,Thomas Peterffy,82.382007156,-2.1448019,0.6136075,0.32170904,0.013792680512711163,-0.01425840460692419,0.0,finance,254/1016,1.5244248
20,Mukesh Ambani,78.889078208,0.73825663,0.075868756,0.3817504,0.021838227609031115,0.016831661087208842,-0.0,Diversified,36,0.8902763
21,Francoise Bettencourt Meyers & family,77.611177373,0.035682805,0.54315215,0.24678442,0.0,0.0,0.0,cosmetics/consumer goods,,1.9213439
22,Giancarlo Devasini,76.077696371,0.53893065,0.74390864,1.27194,0.006559133975162983,0.033718889360654654,-0.0,cryptocurrency/fintech,345/249/54/783/55/107,0.86932945
23,Julia Koch & family,69.177031862,-0.7411901,0.802304,0.23811914,0.0332427836589294,-0.0031359392222122446,0.0,industrial/energy/chemicals,25/76/706/2162,1.1103568
24,Gautam Adani,65.087749191,1.5724819,0.7923124,0.14092913,-0.022747970218416465,0.0010873945130310389,0.0,Commodities/infrastructure,24/102,0.37870634
25,Charles Koch & family,62.872721077,-0.6451388,0.91614306,-0.4612832,-0.022561443528205223,0.025047509072522824,0.0,industrial/energy/chemicals,76/1185/23/2162,1.1103568
26,Masayoshi Son,61.76520702,0.8091751,0.5971681,-0.67048526,0.002666761982441561,0.005683315409167765,-0.0,telecom/investment/finance,2501,0.6704873
27,Zhang Yiming,59.039018572,0.8095081,-0.11257417,-0.38657987,0.010961712788436,0.006166040186343077,-0.0,social media/ai/advertising,1341/1926,0.7535922
28,Jeff Yass,57.420344181,-0.67240965,0.3887304,0.38337287,0.01837284499109313,-0.013549437696995275,0.0,investment/finance,167/1424/730,1.5244248
29,Robin Zeng,57.249957403,0.4089765,0.2991851,-0.28566012,0.018526682368314853,-0.025398907769316918,0.0,batteries/energy storage,147/77/239/119,0.76219267
30,Zhong Shanshan,56.65360368,1.2270057,1.6019201,-1.1183374,0.0,0.0,0.0,healthcare/pharmaceuticals/food/beverages,,1.4115231
31,Tadashi Yanai & family,54.438575567,0.68025196,0.4679741,-0.716866,0.01441224746977658,0.017877949506663503,-0.0,ai/software/retail/luxury/fashion,168/1619/1229/1342,1.2647958
32,Germán Larrea Mota Velasco & family,54.353382178,-1.241502,0.67592746,0.07471077,-0.004369949455013379,-0.02730946841886965,0.0,mining/materials,129/95/1118,0.8420775
33,Dieter Schwarz,52.053160675,0.079165146,0.46786407,0.48686275,-0.005659657934496426,-0.015851225721629107,0.0,ai/software/retail,741/872,1.2647958
34,Ken Griffin,43.022661441,-0.94157755,0.5065151,0.2583185,0.030828358094137025,-0.0071407513454620234,0.0,hedge funds/finance,3139/115/70/120/452,1.5244248
35,Iris Fontbona & family,42.681887886,-1.4375937,-0.42552677,0.011725247,0.009924910723008901,-0.025814718102294156,0.0,mining/materials,129/95/1118,0.8420775
36,Li Ka-shing,42.681887886,0.70542,0.11847262,-0.41676942,0.016681016290861467,0.014652842742027536,-0.0,Diversified,266/494/2485/1901,0.8902763
37,Lukas Walton,42.000340774,-1.3622609,0.75291324,-0.12321518,-0.0254917123235074,-0.031877803669861655,0.0,retail/logistics,9/8/121,1.5629902
38,Giovanni Ferrero,41.403987051,0.030688703,1.030185,0.8488133,0.0,0.0,0.0,food/confectionery,,1.5943632
39,Ma Huateng,41.318793662,1.4892392,1.1386898,-1.152661,-0.012621007993393375,-0.019975347880863723,0.0,Online games,1391/1242/499/206,0.5171643
40,Mark Mateschitz,38.93337877,0.36472228,1.1709934,1.5639238,0.0,0.0,0.0,beverages/consumer goods,,1.9213439
41,Jacqueline Mars,38.848185381,-1.0218407,1.1907355,-0.18846971,-0.02935417379351429,0.012408951102854737,0.0,food/beverages,42/281/282/280/283,0.431557
42,John Mars,38.848185381,-1.1931632,0.89691204,-0.26025814,0.02362144955531353,-0.02139337999191944,0.0,food/beverages,41/281/282/280/283,0.431557
43,Gianluigi Aponte,37.314704379,-0.46409553,1.1010785,1.4514402,0.010982469701682072,-0.03265409269025743,0.0,logistics/shipping,59/48/1186/44/562,0.7081293
44,Rafaela Aponte-Diamant,37.314704379,0.67064923,1.5180312,0.8918584,-0.0117915592902137,0.03194564322970937,0.0,logistics/shipping,43/59/48/1186,0.7081293
45,Andrea Pignataro,36.207190322,0.00029593112,0.36803782,0.4751411,0.0,0.0,0.0,software/cloud/finance,,1.5939332
46,Eric Schmidt,35.866416766,-0.48023456,0.6597998,-0.35702124,-0.028885753150290336,0.03551241569244021,0.0,internet/ai/advertising,1/2/199,0.7535922
47,Abigail Johnson,34.503322542,-0.4632198,1.0630021,0.5492636,-0.0010071975071355504,0.022327086762085425,0.0,finance/asset management,211/336,1.4860582
48,Klaus-Michael Kuehne,34.503322542,0.3815146,1.1808048,1.2706792,0.023193754835497304,-0.017054100418183785,0.0,logistics/shipping,934/297/44,0.7081293
49,Stephen Schwarzman,34.247742375,-0.5925987,0.8692244,-0.148686,-0.01236866674912528,0.01676579518575803,0.0,investment/finance,977/1392/1231/436,1.5244248
50,Henry Samueli,33.992162208,-0.67376494,1.0917823,-0.5491553,-0.03646377929649582,-0.006530837315655408,0.0,semiconductors/hardware,7,1.2610606
51,Alain Wertheimer,33.566195263,-1.2911689,2.0140533,-0.19647238,-0.008192608506043435,-0.02453145938937472,0.0,luxury/fashion,52,0.9080228
52,Gerard Wertheimer,33.566195263,0.06033267,1.5627013,1.569798,0.0,0.0,0.0,luxury/fashion,,0.9080228
53,William Ding,33.055034929,1.7876325,0.9378035,-0.7346586,0.02098194747404653,0.021190745883720934,-0.0,Online games,1335/39/1784/206,0.5171643
54,Jean-Louis van der Velde,32.373487817,1.1562157,0.66162956,-0.6311387,0.005545410812526602,0.03636224676313558,-0.0,cryptocurrency/fintech,345/249/22/783/55/107,0.86932945
55,Paolo Ardoino,32.373487817,0.58672994,0.9944262,1.0017605,-0.018754210990609404,0.03164244208120727,0.0,cryptocurrency/fintech,345/249/22/54/783/107,0.86932945
56,Savitri Jindal & family,31.947520872,1.2352309,1.2372549,-0.14674708,-0.004449970386687307,0.02716708213329301,0.0,mining/materials,1183/1038/80/1403/371,0.8420775
