ID,Name,NetWorth_Billions,x,y,z,vx,vy,vz,industries,connections,velocity_mode,velocity_scale,hue color value
0,Elon Musk,701.141591413,-0.7176682,0.7269679,-0.4203704,-0.00977271014871586,0.0010519870029238895,0.038622535446553447,social media/automotive/ai/energy/space/aerospace,4/395/87/1574,radial,0.05,0.6697777
1,Larry Page,268.018401772,-0.7726372,0.37655112,-0.29911,0.029787867000311347,0.02733592511869557,-0.008125980094404467,internet/ai/advertising,46/2,radial,0.05,0.7535922
2,Sergey Brin,247.146021469,-0.57846415,0.55257666,-0.35525104,-0.030348952126095077,-0.027104791410648924,0.009372215194074784,internet/ai/advertising,46/1,radial,0.05,0.7535922
3,Jeff Bezos,232.237178395,-0.7260102,0.60625494,0.3315384,0.022330289247378784,0.010124500538701517,-0.0191525392916681,e-commerce/cloud/logistics,401/266/86/69,radial,0.05,1.5939332
4,Larry Ellison,199.863690578,-0.94153845,0.759288,0.645527,-0.004171976745013387,0.0123711160982565,0.003847045272571908,software/cloud,1246/1451,radial,0.05,1.5939332
5,Mark Zuckerberg,175.583574715,-1.4656347,1.4484248,-0.11488092,0.0006075068146516718,-0.016736789129202692,-0.020558584195214395,social media/advertising/ai,346/87/1574/1783,radial,0.05,1.3075284
6,Jensen Huang,162.208212643,-0.63497937,0.86095965,-0.86231935,-0.006666761614858944,0.01149099362027395,0.013405623486724446,semiconductors/hardware,3071/3186/260,radial,0.05,1.2610606
7,Michael Dell,158.885670472,-0.5559886,0.43419886,-0.2520443,-0.0050078445061710235,0.022878867985570085,-0.012148974858193953,computer hardware/enterprise technology,50/1718,radial,0.05,2.007607
8,Rob Walton & family,125.23428182,-1.3219254,0.7526673,-0.0794012,0.0009006971672438035,-0.01685404149456595,-0.03416097658380763,retail/logistics,9/37/121,radial,0.05,1.5629902
9,Jim Walton & family,122.934060317,-1.3605335,0.6816011,-0.26653156,0.008001219843147316,-0.009505423500389779,0.03979817264376029,retail/logistics,12/37/8/121,radial,0.05,1.5629902
10,Bernard Arnault & family,122.422899983,0.18676919,0.436587,0.40867585,-0.0037044400965710192,0.011098251333473733,0.009142983058793259,luxury/fashion/retail,1406/1873/1717,radial,0.05,0.9080228
11,Warren Buffett,121.656159482,-1.3375782,1.245692,0.28232116,0.028709403061244608,-0.000987263595417789,0.015677167402214094,finance/investment/insurance,18,radial,0.05,0.6704873
12,Alice Walton,115.09626853,-1.424397,0.5275525,-0.36513987,0.016708235233034975,0.026882529016794953,0.0225861326294931,retail/logistics,108/9/37/121,radial,0.05,1.5629902
13,Steve Ballmer,111.177372636,-1.1189507,1.186706,-0.7052731,0.021899228980342963,-0.0007315576287717169,0.025212333469363538,software/cloud/ai,18/521/1574,radial,0.05,1.5939332
14,Amancio Ortega,110.666212302,-0.33969736,1.2456379,0.8043424,0.015834241054118008,-0.006438924267289591,-0.01006763140866174,fashion/retail,2855/268/1211,radial,0.05,0.59320146
15,Carlos Slim Helu & family,108.451184188,-0.9386904,0.7380109,-0.46271524,0.023082323304709027,0.005744461904508352,0.02476731410512848,telecom,18/1243/397/227,radial,0.05,0.37299705
16,Changpeng Zhao,95.58698245,0.74092776,0.8279637,1.0915166,-0.01711759920471131,-0.002157762914037207,-0.00909098350880829,social media/cryptocurrency/fintech,1466/1903/783/1815/1465,radial,0.05,2.003768
17,Michael Bloomberg,93.201567558,-0.39296544,0.40899858,0.19856182,-0.0029087245867345846,0.0022551677198610017,-0.017033302195204478,financial data/media,1062/730/2272,radial,0.05,0.471399
18,Bill Gates,87.493610496,0.59116113,1.1793662,1.335536,-0.030496122646443292,0.00041918192243691046,-0.025901342240379214,software/cloud/ai,521/13/11,radial,0.05,1.5939332
19,Thomas Peterffy,82.382007156,-2.1448019,0.6136075,0.32170904,0.008198352442602145,0.00793056860769008,-0.016230626495797363,finance,254/1016,radial,0.05,1.5244248
20,Mukesh Ambani,78.889078208,0.73825663,0.075868756,0.3817504,-0.0011312469587466093,0.0014677356227132405,-0.02750961709145829,Diversified,36,radial,0.05,0.8902763
21,Francoise Bettencourt Meyers & family,77.611177373,0.035682805,0.54315215,0.24678442,0.0,0.0,0.0,cosmetics/consumer goods,,radial,0.05,1.9213439
22,Giancarlo Devasini,76.077696371,0.53893065,0.74390864,1.27194,-0.013214591042621801,0.002570555398443357,-0.03160304679520632,cryptocurrency/fintech,345/249/54/783/55/107,radial,0.05,0.86932945
23,Julia Koch & family,69.177031862,-0.7411901,0.802304,0.23811914,0.0005272483275620722,0.005589139599240628,-0.03291504683182262,industrial/energy/chemicals,25/76/706/2162,radial,0.05,1.1103568
24,Gautam Adani,65.087749191,1.5724819,0.7923124,0.14092913,-0.0006248618460806311,-0.013071924214189217,0.018638318617749262,Commodities/infrastructure,24/102,radial,0.05,0.37870634
25,Charles Koch & family,62.872721077,-0.6451388,0.91614306,-0.4612832,-0.007362060030628775,-0.0066313461011777266,0.032221448847100584,industrial/energy/chemicals,76/1185/23/2162,radial,0.05,1.1103568
26,Masayoshi Son,61.76520702,0.8091751,0.5971681,-0.67048526,-0.0013731101929108048,0.00064429963789283,0.006091891322554517,telecom/investment/finance,2501,radial,0.05,0.6704873
27,Zhang Yiming,59.039018572,0.8095081,-0.11257417,-0.38657987,-0.0046906250173572046,0.00833878513351315,0.008163448920609592,social media/ai/advertising,1341/1926,radial,0.05,0.7535922
28,Jeff Yass,57.420344181,-0.67240965,0.3887304,0.38337287,0.0017881055067255052,0.0024246456596551703,-0.022629018252973896,investment/finance,167/1424/730,radial,0.05,1.5244248
29,Robin Zeng,57.249957403,0.4089765,0.2991851,-0.28566012,0.025015926988369346,0.01824732534453148,-0.0054388408814828445,batteries/energy storage,147/77/239/119,radial,0.05,0.76219267
30,Zhong Shanshan,56.65360368,1.2270057,1.6019201,-1.1183374,0.0,0.0,0.0,healthcare/pharmaceuticals/food/beverages,,radial,0.05,1.4115231
31,Tadashi Yanai & family,54.438575567,0.68025196,0.4679741,-0.716866,-0.008327613615513558,0.006713277057569066,0.020320352317613033,ai/software/retail/luxury/fashion,168/1619/1229/1342,radial,0.05,1.2647958
32,Germán Larrea Mota Velasco & family,54.353382178,-1.241502,0.67592746,0.07471077,0.027301694804202765,-0.004368705552984382,0.0006598455653423642,mining/materials,129/95/1118,radial,0.05,0.8420775
33,Dieter Schwarz,52.053160675,0.079165146,0.46786407,0.48686275,0.010091439883373287,-0.0036031344710771946,-0.012979728343734426,ai/software/retail,741/872,radial,0.05,1.2647958
34,Ken Griffin,43.022661441,-0.94157755,0.5065151,0.2583185,0.005735265758360346,0.0247605354128649,0.018852071644975894,hedge funds/finance,3139/115/70/120/452,radial,0.05,1.5244248
35,Iris Fontbona & family,42.681887886,-1.4375937,-0.42552677,0.011725247,0.02578417330963749,0.009913167254071186,0.0013450075434728536,mining/materials,129/95/1118,radial,0.05,0.8420775
36,Li Ka-shing,42.681887886,0.70542,0.11847262,-0.41676942,-0.01282407119454732,0.014599115289611773,-0.010741095645993487,Diversified,266/494/2485/1901,radial,0.05,0.8902763
37,Lukas Walton,42.000340774,-1.3622609,0.75291324,-0.12321518,0.029132319048094175,-0.023296231577985452,-0.016571522113059737,retail/logistics,9/8/121,radial,0.05,1.5629902
38,Giovanni Ferrero,41.403987051,0.030688703,1.030185,0.8488133,0.0,0.0,0.0,food/confectionery,,radial,0.05,1.5943632
39,Ma Huateng,41.318793662,1.4892392,1.1386898,-1.152661,0.002405092448529699,-0.0015196076283018332,0.02345657026721636,Online games,1391/1242/499/206,radial,0.05,0.5171643
40,Mark Mateschitz,38.93337877,0.36472228,1.1709934,1.5639238,0.0,0.0,0.0,beverages/consumer goods,,radial,0.05,1.9213439
41,Jacqueline Mars,38.848185381,-1.0218407,1.1907355,-0.18846971,-0.011870034876650936,-0.028079332718470334,0.009289937173383502,food/beverages,42/281/282/280/283,radial,0.05,0.431557
42,John Mars,38.848185381,-1.1931632,0.89691204,-0.26025814,0.014836981389511011,0.016382217656949832,0.022959453705619953,food/beverages,41/281/282/280/283,radial,0.05,0.431557
43,Gianluigi Aponte,37.314704379,-0.46409553,1.1010785,1.4514402,0.025622152598665883,0.008617434796792825,-0.02135765726632937,logistics/shipping,59/48/1186/44/562,radial,0.05,0.7081293
44,Rafaela Aponte-Diamant,37.314704379,0.67064923,1.5180312,0.8918584,-0.030623444670041623,-0.01130351832019316,0.00969536497407179,logistics/shipping,43/59/48/1186,radial,0.05,0.7081293
45,Andrea Pignataro,36.207190322,0.00029593112,0.36803782,0.4751411,0.0,0.0,0.0,software/cloud/finance,,radial,0.05,1.5939332
46,Eric Schmidt,35.866416766,-0.48023456,0.6597998,-0.35702124,-0.035358803672582366,-0.028760805331337104,0.004253173275201621,internet/ai/advertising,1/2/199,radial,0.05,0.7535922
47,Abigail Johnson,34.503322542,-0.4632198,1.0630021,0.5492636,-0.019193504331059267,-0.0008658384285166205,-0.01141809815202967,finance/asset management,211/336,radial,0.05,1.4860582
48,Klaus-Michael Kuehne,34.503322542,0.3815146,1.1808048,1.2706792,0.006408219130548985,0.008715245002757265,-0.026679052392456357,logistics/shipping,934/297/44,radial,0.05,0.7081293
49,Stephen Schwarzman,34.247742375,-0.5925987,0.8692244,-0.148686,-0.011713600797139196,-0.008641500333677875,0.014906100553465003,investment/finance,977/1392/1231/436,radial,0.05,1.5244248
